latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
25.13181,117.08737,371.0,28800,Asia/Shanghai,CST

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),daylight_duration (s),sunshine_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2022-01-01,3,19.4,8.0,14.0,19.1,6.5,13.3,2022-01-01T06:57,2022-01-01T17:33,38175.30,28046.23,0.00,0.00,0.00,0.0,7.9,22.0,29,11.33,1.98
2022-01-02,51,19.2,11.3,14.5,19.2,10.0,13.7,2022-01-02T06:57,2022-01-02T17:34,38197.40,27213.35,0.40,0.40,0.00,4.0,11.1,30.2,49,11.42,1.92
2022-01-03,3,20.3,8.6,13.9,20.7,7.9,13.4,2022-01-03T06:57,2022-01-03T17:34,38221.41,31989.33,0.00,0.00,0.00,0.0,8.8,24.8,84,12.95,2.19
2022-01-04,3,21.9,9.1,14.9,21.5,8.0,14.3,2022-01-04T06:57,2022-01-04T17:35,38247.61,34696.22,0.00,0.00,0.00,0.0,8.0,21.2,18,14.28,2.43
2022-01-05,53,22.4,12.3,16.3,22.4,12.0,16.6,2022-01-05T06:58,2022-01-05T17:36,38276.07,25200.00,2.20,2.20,0.00,6.0,9.5,28.1,347,11.69,2.09
2022-01-06,3,17.7,10.0,13.7,16.5,8.4,12.4,2022-01-06T06:58,2022-01-06T17:36,38306.71,23917.63,0.00,0.00,0.00,0.0,16.1,40.7,35,8.99,1.54
2022-01-07,3,17.7,8.9,13.2,16.6,7.1,11.9,2022-01-07T06:58,2022-01-07T17:37,38339.46,29456.75,0.00,0.00,0.00,0.0,10.7,29.5,41,10.90,1.87
2022-01-08,3,19.1,8.2,13.5,18.9,6.5,12.5,2022-01-08T06:58,2022-01-08T17:38,38374.28,34632.39,0.00,0.00,0.00,0.0,10.2,29.2,49,13.22,2.13
2022-01-09,51,17.0,9.1,12.6,17.0,8.5,11.9,2022-01-09T06:58,2022-01-09T17:38,38411.05,7517.42,0.30,0.30,0.00,2.0,10.7,27.0,58,5.95,1.16
2022-01-10,55,16.6,10.0,12.9,16.0,8.5,12.3,2022-01-10T06:58,2022-01-10T17:39,38449.74,5423.27,3.60,3.60,0.00,8.0,8.6,23.4,332,5.17,1.03
2022-01-11,51,14.0,6.9,10.3,11.8,3.5,7.5,2022-01-11T06:58,2022-01-11T17:40,38490.27,31348.43,0.20,0.20,0.00,1.0,19.4,49.0,36,11.94,1.90
2022-01-12,51,14.1,8.8,10.8,11.9,6.2,8.9,2022-01-12T06:58,2022-01-12T17:41,38532.55,1332.90,0.10,0.10,0.00,1.0,9.3,25.9,233,5.58,1.19
2022-01-13,2,15.3,5.0,9.7,12.1,3.2,7.3,2022-01-13T06:58,2022-01-13T17:41,38576.53,34413.86,0.00,0.00,0.00,0.0,10.5,30.6,40,14.07,2.24
2022-01-14,51,16.0,4.1,10.4,14.0,1.5,8.5,2022-01-14T06:58,2022-01-14T17:42,38622.13,20804.51,0.20,0.20,0.00,2.0,7.8,24.5,155,9.89,1.69
2022-01-15,51,19.6,9.1,14.3,19.6,8.1,14.0,2022-01-15T06:58,2022-01-15T17:43,38669.28,22198.08,0.40,0.40,0.00,3.0,7.6,20.9,189,10.61,1.79
2022-01-16,51,20.6,11.9,16.1,21.3,11.6,16.5,2022-01-16T06:58,2022-01-16T17:44,38717.92,12073.31,0.60,0.60,0.00,3.0,8.1,24.5,219,7.72,1.49
2022-01-17,51,17.2,12.0,14.3,17.6,11.0,14.2,2022-01-17T06:58,2022-01-17T17:45,38767.97,622.88,0.50,0.50,0.00,4.0,12.2,31.0,26,4.83,0.94
2022-01-18,51,14.7,11.0,12.5,13.9,9.9,11.6,2022-01-18T06:58,2022-01-18T17:45,38819.37,0.00,0.60,0.60,0.00,5.0,8.7,23.0,21,4.96,0.93
2022-01-19,3,17.5,9.6,12.8,15.6,7.9,11.1,2022-01-19T06:58,2022-01-19T17:46,38872.05,30047.46,0.00,0.00,0.00,0.0,12.2,34.2,37,12.90,2.19
2022-01-20,3,20.9,7.3,12.9,19.9,5.2,11.4,2022-01-20T06:58,2022-01-20T17:47,38925.93,33514.58,0.00,0.00,0.00,0.0,10.6,31.3,16,15.99,2.62
2022-01-21,3,21.1,9.4,14.3,20.4,7.5,13.2,2022-01-21T06:58,2022-01-21T17:48,38980.97,31775.92,0.00,0.00,0.00,0.0,9.3,26.6,35,12.54,2.24
2022-01-22,61,15.2,11.1,12.9,15.4,10.1,12.6,2022-01-22T06:58,2022-01-22T17:48,39037.09,434.82,13.20,13.20,0.00,18.0,9.7,29.9,20,3.96,0.69
2022-01-23,53,20.0,13.2,16.2,20.4,13.7,17.0,2022-01-23T06:57,2022-01-23T17:49,39094.23,7406.56,2.00,2.00,0.00,12.0,10.7,29.2,226,6.65,1.24
